check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate
1,TFO,2026-05-12,2026-07,58.0,E,M,2026-06-26,0,2.975,0,400,46.55509703441664,1.929
1,TFO,2026-05-12,2026-07,65.0,E,M,2026-06-26,0,2.07,0,1325,46.55509703441664,1.929
1,TFO,2026-05-12,2026-07,68.0,E,M,2026-06-26,0,1.9650000000000003,0,10,46.55509703441664,1.929
1,TFO,2026-05-12,2026-07,75.0,E,M,2026-06-26,0,1.315,0,1200,46.55509703441664,1.929
1,TFO,2026-05-12,2026-07,80.0,E,M,2026-06-26,0,1.055,0,75,46.55509703441664,1.929
1,TFO,2026-05-12,2026-08,35.0,E,M,2026-07-27,0.95,0,1200,0,46.430484097429954,1.929
1,TFO,2026-05-12,2026-08,40.0,E,M,2026-07-27,2.6,0,1800,0,46.430484097429954,1.929
2,TFO,2026-05-12,2026-08,50.0,E,M,2026-07-27,0,5.740426829268293,0,1640,46.430484097429954,1.929
1,TFO,2026-05-12,2026-08,60.0,E,M,2026-07-27,0,3.775,0,2655,46.430484097429954,1.929
1,TFO,2026-05-12,2026-08,90.0,E,M,2026-07-27,0,1.5,0,1000,46.430484097429954,1.929
1,TFO,2026-05-12,2026-09,27.0,E,M,2026-08-26,0.19,0,200,0,46.3050679729627,1.929
2,TFO,2026-05-12,2026-09,33.0,E,M,2026-08-26,0.8018055555555555,0,720,0,46.3050679729627,1.929
1,TFO,2026-05-12,2026-09,60.0,E,M,2026-08-26,0,4.975,0,1250,46.3050679729627,1.929
1,TFO,2026-05-12,2026-09,70.0,E,M,2026-08-26,0,3.525,0,400,46.3050679729627,1.929
1,TFO,2026-05-12,2026-10,33.0,E,M,2026-09-25,1.1,0,200,0,46.14300990675991,1.929
1,TFO,2026-05-12,2027-03,50.0,E,M,2027-02-24,0,9.65,0,1000,43.4,1.929
1,TFO,2026-05-13,2026-06,32.0,E,M,2026-05-27,0.055,0,200,0,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,35.0,E,M,2026-05-27,0.12585421412300682,0,4390,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,37.0,E,M,2026-05-27,0.26,0,500,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,38.0,E,M,2026-05-27,0.35,0,400,0,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,40.0,E,M,2026-05-27,0.5254716981132075,0,2650,0,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,41.0,E,M,2026-05-27,0.8569354838709677,0,620,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,42.0,E,M,2026-05-27,1.0,0,2760,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,43.0,E,M,2026-05-27,1.3,0,250,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,44.0,E,M,2026-05-27,1.71,0,25,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,45.0,E,M,2026-05-27,0,3.65,0,450,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,46.0,E,M,2026-05-27,2.81844,0,625,0,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,47.0,E,M,2026-05-27,3.19,0,700,0,46.630850549915955,1.928
4,TFO,2026-05-13,2026-06,48.0,E,M,2026-05-27,3.836931818181818,2.743333333333333,220,255,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,50.0,E,M,2026-05-27,0,2.05,0,1400,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,53.0,E,M,2026-05-27,0,1.38,0,100,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,54.0,E,M,2026-05-27,0,1.13,0,430,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,55.0,E,M,2026-05-27,0,1.1047169811320754,0,1060,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,60.0,E,M,2026-05-27,0,0.65,0,1615,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,65.0,E,M,2026-05-27,0,0.4,0,500,46.630850549915955,1.928
2,TFO,2026-05-13,2026-06,70.0,E,M,2026-05-27,0,0.25384196185286106,0,1835,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,80.0,E,M,2026-05-27,0,0.135,0,500,46.630850549915955,1.928
1,TFO,2026-05-13,2026-06,100.0,E,M,2026-05-27,0,0.08,0,250,46.630850549915955,1.928
