check,contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,close
1,TFO,2026-05-08,2026-07,60.0,E,M,2026-06-26,0,2.075,87.66499999999999
1,TFO,2026-05-08,2026-07,75.0,E,M,2026-06-26,0,,87.66499999999999
1,TFO,2026-05-08,2026-07,85.0,E,M,2026-06-26,0,0.7,87.66499999999999
1,TFO,2026-05-08,2026-08,29.0,E,M,2026-07-27,,0,87.63
1,TFO,2026-05-08,2026-08,32.0,E,M,2026-07-27,0.63,0,87.63
2,TFO,2026-05-08,2026-08,33.0,E,M,2026-07-27,0.895,0,87.63
1,TFO,2026-05-08,2026-08,35.0,E,M,2026-07-27,,0,87.63
1,TFO,2026-05-08,2026-08,38.0,E,M,2026-07-27,2.63,0,87.63
1,TFO,2026-05-08,2026-08,40.0,E,M,2026-07-27,,0,87.63
1,TFO,2026-05-08,2026-08,45.0,E,M,2026-07-27,0,,87.63
1,TFO,2026-05-08,2026-08,50.0,E,M,2026-07-27,0,,87.63
1,TFO,2026-05-08,2026-08,60.0,E,M,2026-07-27,0,,87.63
1,TFO,2026-05-08,2026-08,75.0,E,M,2026-07-27,0,,87.63
1,TFO,2026-05-08,2026-08,125.0,E,M,2026-07-27,0,0.5,87.63
1,TFO,2026-05-08,2026-09,25.0,E,M,2026-08-26,,0,87.985
1,TFO,2026-05-08,2026-09,29.0,E,M,2026-08-26,,0,87.985
1,TFO,2026-05-08,2026-09,33.0,E,M,2026-08-26,,0,87.985
1,TFO,2026-05-08,2026-09,35.0,E,M,2026-08-26,1.82,0,87.985
1,TFO,2026-05-08,2026-09,38.0,E,M,2026-08-26,,0,87.985
1,TFO,2026-05-08,2026-09,40.0,E,M,2026-08-26,,0,87.985
1,TFO,2026-05-08,2026-09,45.0,E,M,2026-08-26,0,,87.985
2,TFO,2026-05-08,2026-09,50.0,E,M,2026-08-26,0,10.89,87.985
1,TFO,2026-05-08,2026-09,60.0,E,M,2026-08-26,0,3.75,87.985
1,TFO,2026-05-08,2026-09,70.0,E,M,2026-08-26,0,2.77,87.985
1,TFO,2026-05-08,2026-09,75.0,E,M,2026-08-26,0,,87.985
1,TFO,2026-05-08,2026-09,90.0,E,M,2026-08-26,0,1.55,87.985
1,TFO,2026-05-08,2026-10,28.0,E,M,2026-09-25,,0,87.55000000000001
1,TFO,2026-05-08,2026-10,30.0,E,M,2026-09-25,,0,87.55000000000001
1,TFO,2026-05-08,2026-10,31.0,E,M,2026-09-25,0.95,0,87.55000000000001
1,TFO,2026-05-08,2026-10,35.0,E,M,2026-09-25,2.225,0,87.55000000000001
1,TFO,2026-05-08,2026-10,45.0,E,M,2026-09-25,0,7.0,87.55000000000001
1,TFO,2026-05-08,2026-10,55.0,E,M,2026-09-25,0,4.885,87.55000000000001
1,TFO,2026-05-08,2026-10,60.0,E,M,2026-09-25,0,,87.55000000000001
1,TFO,2026-05-08,2026-10,65.0,E,M,2026-09-25,0,3.59,87.55000000000001
1,TFO,2026-05-08,2026-10,80.0,E,M,2026-09-25,0,,87.55000000000001
1,TFO,2026-05-08,2026-11,80.0,E,M,2026-10-27,0,,86.66
1,TFO,2026-05-08,2026-11,100.0,E,M,2026-10-27,0,,86.66
1,TFO,2026-05-08,2026-12,30.0,E,M,2026-11-26,,0,86.515
