'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility
check,TFO,2026-05-14,2026-07,50.0,E,M,2026-06-26,0.0,4.3,0,3700,47.90476581488538,1.93,C,0.7840666723501795,0.8531328341556047
check,TFO,2026-05-14,2026-07,52.0,E,M,2026-06-26,0.0,3.825,0,100,47.90476581488538,1.93,C,0.8216360075067701,0.8658941030433955
check,TFO,2026-05-14,2026-07,54.0,E,M,2026-06-26,0.0,3.4,0,2000,47.90476581488538,1.93,C,0.8527751799857515,0.8780016966322473
check,TFO,2026-05-14,2026-07,55.0,E,M,2026-06-26,0.0,3.35,0,100,47.90476581488538,1.93,C,0.8896149126645001,0.8838294329069254
check,TFO,2026-05-14,2026-07,60.0,E,M,2026-06-26,0.0,2.3,0,2325,47.90476581488538,1.93,C,0.906829280586139,0.9109649691986983
check,TFO,2026-05-14,2026-07,65.0,E,M,2026-06-26,0.0,1.87,0,650,47.90476581488538,1.93,C,0.9813401740195102,0.9352421373686891
check,TFO,2026-05-14,2026-07,70.0,E,M,2026-06-26,0.0,1.43,0,1025,47.90476581488538,1.93,C,1.0180796021213507,0.9571775277052242
check,TFO,2026-05-14,2026-07,75.0,E,M,2026-06-26,0.0,1.04,0,850,47.90476581488538,1.93,C,1.0319915991888076,0.9771615715000902
check,TFO,2026-05-14,2026-08,35.0,E,M,2026-07-27,0.915,0.0,575,0,47.73422328232055,1.93,P,0.664295954340483,0.7460435891745107
check,TFO,2026-05-14,2026-08,40.0,E,M,2026-07-27,2.545,0.0,550,0,47.73422328232055,1.93,P,0.7214612891961184,0.781771688502751
check,TFO,2026-05-14,2026-08,45.0,E,M,2026-07-27,5.35,0.0,450,0,47.73422328232055,1.93,P,0.8115443394301577,0.8120145748695605
check,TFO,2026-05-14,2026-09,34.5,E,M,2026-08-26,1.125,0.0,10,0,47.624348822671394,1.93,P,0.6202811088448436,0.9707884577638551
check,TFO,2026-05-14,2026-09,35.0,E,M,2026-08-26,1.38,0.0,1075,0,47.624348822671394,1.93,P,0.6472846210986477,0.9737747038292434
check,TFO,2026-05-14,2026-09,40.0,E,M,2026-08-26,3.36,0.0,600,0,47.624348822671394,1.93,P,0.7099567506620226,1.0010735383828102
check,TFO,2026-05-14,2026-09,50.0,E,M,2026-08-26,0.0,6.71,0,1750,47.624348822671394,1.93,C,0.7496688884386582,1.0451372323228227
check,TFO,2026-05-14,2026-09,60.0,E,M,2026-08-26,0.0,4.7,0,2300,47.624348822671394,1.93,C,0.8457833102985002,1.0798315226339361
check,TFO,2026-05-14,2026-10,44.0,E,M,2026-09-25,6.225,0.0,50,0,47.15825131390349,1.93,P,0.7200589247519921,0.9004177850899481
check,TFO,2026-05-14,2026-10,46.0,E,M,2026-09-25,0.0,8.05,0,50,47.15825131390349,1.93,C,0.6537762889151745,0.9081262420757836
check,TFO,2026-05-14,2026-12,30.0,E,M,2026-11-26,1.1,0.0,450,0,46.013487626031164,1.93,P,0.5611493412712776,0.7854453892441915
check,TFO,2026-05-14,2026-12,45.0,E,M,2026-11-26,0.0,9.2,0,500,46.013487626031164,1.93,C,0.6439268193691162,0.8435593623715147
check,TFO,2026-05-14,2027-01,55.0,E,M,2026-12-24,0.0,7.45,0,350,45.60691825113406,1.93,C,0.7347685322401507,0.8157821956025089
check,TFO,2026-05-14,2027-01,70.0,E,M,2026-12-24,0.0,5.45,0,50,45.60691825113406,1.93,C,0.8193464299029519,0.8454908367669811
check,TFO,2026-05-14,2027-03,25.0,E,M,2027-02-24,1.125,0.0,75,0,43.38,1.93,P,0.5809460907109725,0.830094448834264
check,TFO,2026-05-14,2027-03,28.0,E,M,2027-02-24,0.0,16.8,0,75,43.38,1.93,C,0.4708084417912238,0.8428139602906697
check,TFO,2026-05-14,2027-03,30.0,E,M,2027-02-24,2.55,0.0,400,0,43.38,1.93,P,0.5989950634958625,0.8504666180151838
check,TFO,2026-05-14,2027-03,45.0,E,M,2027-02-24,0.0,9.8,0,500,43.38,1.93,C,0.6729578455259224,0.8941475692135794
check,TFO,2026-05-15,2026-06,35.0,E,M,2026-05-27,0.04,0.0,2000,0,50.96696234082379,1.931,P,0.9610551724179911,0.6192122001299205
check,TFO,2026-05-15,2026-06,37.0,E,M,2026-05-27,0.105,0.0,250,0,50.96696234082379,1.931,P,0.9751085624164009,0.6691147091002705
check,TFO,2026-05-15,2026-06,38.0,E,M,2026-05-27,0.155,0.0,190,0,50.96696234082379,1.931,P,0.9757955235269199,0.6918762598580694
check,TFO,2026-05-15,2026-06,40.0,E,M,2026-05-27,0.25423357664233576,10.075,4110,1000,50.96696234082379,1.931,P,0.930185983365412,0.7337838510518603
check,TFO,2026-05-15,2026-06,41.0,E,M,2026-05-27,0.3046153846153846,0.0,130,0,50.96696234082379,1.931,P,0.8942676126349128,0.7531672725225185
check,TFO,2026-05-15,2026-06,42.0,E,M,2026-05-27,0.39999999999999997,0.0,2320,0,50.96696234082379,1.931,P,0.880822070826261,0.7716340272203398
check,TFO,2026-05-15,2026-06,43.0,E,M,2026-05-27,0.6392391304347826,0.0,460,0,50.96696234082379,1.931,P,0.9292307010802132,0.7892653273871937
check,TFO,2026-05-15,2026-06,44.0,E,M,2026-05-27,0.73816,0.0,1250,0,50.96696234082379,1.931,P,0.8871694630535785,0.8061319359190728
check,TFO,2026-05-15,2026-06,45.0,E,M,2026-05-27,0.7262692307692308,5.87,3250,1925,50.96696234082379,1.931,P,0.7923101051473144,0.8222958974338461
check,TFO,2026-05-15,2026-06,46.0,E,M,2026-05-27,1.175,0.0,810,0,50.96696234082379,1.931,P,0.8697824711957217,0.8378119260702244
check,TFO,2026-05-15,2026-06,47.0,E,M,2026-05-27,1.775,3.86,3710,50,50.96696234082379,1.931,P,0.9639021600587817,0.852728527543115
check,TFO,2026-05-15,2026-06,48.0,E,M,2026-05-27,2.36,3.3,260,15,50.96696234082379,1.931,P,1.026461953169038,0.8670889137797448
check,TFO,2026-05-15,2026-06,49.0,E,M,2026-05-27,3.0,0.0,50,0,50.96696234082379,1.931,P,1.0863019513661423,0.8809317543043207
check,TFO,2026-05-15,2026-06,50.0,E,M,2026-05-27,2.8300000000000005,2.9416504854368934,3435,1545,50.96696234082379,1.931,P,0.9067808283956743,0.8942917980719036
check,TFO,2026-05-15,2026-06,51.0,E,M,2026-05-27,3.465,2.57,50,50,50.96696234082379,1.931,PC,,0.907200391671287
check,TFO,2026-05-15,2026-06,52.0,E,M,2026-05-27,0.0,2.250763358778626,0,1310,50.96696234082379,1.931,C,0.7318503627148343,0.9196859139934769
check,TFO,2026-05-15,2026-06,55.0,E,M,2026-05-27,0.0,1.6,0,2525,50.96696234082379,1.931,C,0.8395417691724177,0.9548506519887924
check,TFO,2026-05-15,2026-06,57.0,E,M,2026-05-27,0.0,1.15,0,60,50.96696234082379,1.931,C,0.8531378982348464,0.9765948781855084
check,TFO,2026-05-15,2026-06,60.0,E,M,2026-05-27,0.0,0.8030232558139535,0,2150,50.96696234082379,1.931,C,0.9195800921562602,1.0070118349409423
check,TFO,2026-05-15,2026-06,65.0,E,M,2026-05-27,0.0,0.4,0,20,50.96696234082379,1.931,C,0.9781759382607189,1.0527449264345259
check,TFO,2026-05-15,2026-06,70.0,E,M,2026-05-27,0.0,0.2733333333333333,0,975,50.96696234082379,1.931,C,1.0916650067921017,1.0934014744944978
check,TFO,2026-05-15,2026-06,75.0,E,M,2026-05-27,0.0,0.165,0,650,50.96696234082379,1.931,C,1.1546658383302106,1.129949886244271
check,TFO,2026-05-15,2026-07,35.0,E,M,2026-06-26,0.325,0.0,1600,0,51.010354692900826,1.931,P,0.7526231774459472,0.7110026270234546
check,TFO,2026-05-15,2026-07,36.0,E,M,2026-06-26,0.465,0.0,50,0,51.010354692900826,1.931,P,0.7716783757897338,0.7221976364334328
check,TFO,2026-05-15,2026-07,37.0,E,M,2026-06-26,0.58,0.0,350,0,51.010354692900826,1.931,P,0.768538201637966,0.7329281980029954
check,TFO,2026-05-15,2026-07,38.0,E,M,2026-06-26,0.675,0.0,900,0,51.010354692900826,1.931,P,0.7522433372837958,0.7432292114094204
check,TFO,2026-05-15,2026-07,40.0,E,M,2026-06-26,1.1760869565217391,0.0,1380,0,51.010354692900826,1.931,P,0.7909240355291816,0.7626640613773827
check,TFO,2026-05-15,2026-07,41.0,E,M,2026-06-26,1.475,0.0,300,0,51.010354692900826,1.931,P,0.8064105597332464,0.7718510103156409
check,TFO,2026-05-15,2026-07,45.0,E,M,2026-06-26,2.5,6.995,680,450,51.010354692900826,1.931,P,0.7691296637057893,0.8055701550809936
check,TFO,2026-05-15,2026-07,48.0,E,M,2026-06-26,4.65,0.0,700,0,51.010354692900826,1.931,P,0.9130200710403439,0.8281617769947426
check,TFO,2026-05-15,2026-07,50.0,E,M,2026-06-26,0.0,6.02,0,3910,51.010354692900826,1.931,C,0.7996999952829518,0.8421455985296149
check,TFO,2026-05-15,2026-07,51.0,E,M,2026-06-26,0.0,5.245,0,100,51.010354692900826,1.931,C,0.7540392004992365,0.8488478745496818
check,TFO,2026-05-15,2026-07,53.0,E,M,2026-06-26,0.0,4.655,0,100,51.010354692900826,1.931,C,0.7909032958436757,0.8617209317951952
check,TFO,2026-05-15,2026-07,55.0,E,M,2026-06-26,0.0,3.77,0,625,51.010354692900826,1.931,C,0.7687856557863015,0.873941285452212
check,TFO,2026-05-15,2026-07,60.0,E,M,2026-06-26,0.0,3.3034035656401946,0,3085,51.010354692900826,1.931,C,0.9174835740878258,0.9020075577641294
check,TFO,2026-05-15,2026-07,63.0,E,M,2026-06-26,0.0,2.61,0,15,51.010354692900826,1.931,C,0.9152305238381263,0.91737555338727
check,TFO,2026-05-15,2026-07,65.0,E,M,2026-06-26,0.0,2.479526066350711,0,1055,51.010354692900826,1.931,C,0.958250936734462,0.9270876604374587
check,TFO,2026-05-15,2026-07,68.0,E,M,2026-06-26,0.0,1.97,0,15,51.010354692900826,1.931,C,0.9558059683806862,0.9409350281179314
check,TFO,2026-05-15,2026-07,70.0,E,M,2026-06-26,0.0,1.92,0,400,51.010354692900826,1.931,C,1.000368941569795,0.9497261498977771
check,TFO,2026-05-15,2026-08,35.0,E,M,2026-07-27,0.74,0.0,1625,0,50.930169310916405,1.931,P,0.7063069295421411,0.7330614123797534
check,TFO,2026-05-15,2026-08,39.0,E,M,2026-07-27,0.0,11.475,0,550,50.930169310916405,1.931,C,,0.7630101918366058
check,TFO,2026-05-15,2026-08,49.0,E,M,2026-07-27,0.0,6.9,0,550,50.930169310916405,1.931,C,0.6521069368638303,0.8227069239123652
check,TFO,2026-05-15,2026-08,55.0,E,M,2026-07-27,0.0,5.2,0,525,50.930169310916405,1.931,C,0.7419261608945968,0.8513577005325456
check,TFO,2026-05-15,2026-08,65.0,E,M,2026-07-27,0.0,3.425,0,225,50.930169310916405,1.931,C,0.8457512308817354,0.8911930244118713
check,TFO,2026-05-15,2026-08,75.0,E,M,2026-07-27,0.0,3.04,0,150,50.930169310916405,1.931,C,1.012133383154342,0.9239723197169379
check,TFO,2026-05-15,2026-09,28.0,E,M,2026-08-26,0.26,0.0,225,0,50.72141972942936,1.931,P,0.6749609663170444,0.9170280940968085
