'check',contract_code,ts_event,contract_delivery_period,option_strike_price,ex_style,opt_term,option_expiry_date,put_price,call_price,put_volume,call_volume,close_of_future,euro_short_term_rate,selected_option,implied_volatility,ssvi_implied_volatility,,,ts_event,20.04.26,,,
check,TFO,21.04.26,2026-05,47,E,M,24.04.26,0,0.325,0,200,43.16070527,1.932,C,0.944627578,1.72311956,,,,,,,
check,TFO,21.04.26,2026-05,48,E,M,24.04.26,0,0.602941176,0,1020,43.16070527,1.932,C,1.35889113,1.748605711,,,,,,,
check,TFO,21.04.26,2026-05,49,E,M,24.04.26,0,0.885,0,35,43.16070527,1.932,C,1.75704227,1.773216489,,,,,,,
check,TFO,21.04.26,2026-05,50,E,M,24.04.26,0,0.651450382,0,6550,43.16070527,1.932,C,1.701814891,1.79700767,,,,,,,
check,TFO,21.04.26,2026-05,52,E,M,24.04.26,0,0.25,0,200,43.16070527,1.932,C,1.496829358,1.842329109,,,,,,,
check,TFO,21.04.26,2026-05,55,E,M,24.04.26,0,0.23,0,1200,43.16070527,1.932,C,1.781888433,1.905292301,,,,,,,
check,TFO,21.04.26,2026-05,60,E,M,24.04.26,0,0.137826087,0,1150,43.16070527,1.932,C,2.032997448,1.9990848,,,,,,,
check,TFO,21.04.26,2026-05,80,E,M,24.04.26,0,0.01,0,100,43.16070527,1.932,C,2.435868819,2.282096445,,,,,,,
check,TFO,21.04.26,2026-06,30,E,M,27.05.26,0.329545455,0,550,0,43.1589745,1.932,P,0.824206627,0.736599237,,,,,,,
check,TFO,21.04.26,2026-06,32,E,M,27.05.26,0.6,0,1250,0,43.1589745,1.932,P,0.83378409,0.764144205,,,,,,,
check,TFO,21.04.26,2026-06,33,E,M,27.05.26,1.02,0,250,0,43.1589745,1.932,P,0.920938854,0.776946247,,,,,,,
check,TFO,21.04.26,2026-06,35,E,M,27.05.26,1.309246862,0,1195,0,43.1589745,1.932,P,0.865094237,0.800874693,,,,,,,
check,TFO,21.04.26,2026-06,37,E,M,27.05.26,1.92,0,1250,0,43.1589745,1.932,P,0.870248981,0.822853058,,,,,,,
check,TFO,21.04.26,2026-06,38,E,M,27.05.26,2.35,0,300,0,43.1589745,1.932,P,0.88813411,0.833200259,,,,,,,
