ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,Column1,,,AAA,,,
2025-10-01T00:00:00.000000000Z,35,85,31005454,0.495,0.495,0.495,0.495,100,TFO  50  31005454,TFO  50,,,TFO FMN,,,
2025-10-01T00:00:00.000000000Z,35,58,108616903,1.085,1.085,1.085,1.085,100,TFO FMZ0025_OMPE0000031002112625,TFO FMZ,,,TFO FMQ,,,
2025-10-01T00:00:00.000000000Z,35,58,108215157,,,,,450,TFO FMF0026_OMPE0000030002122425,TFO FMF,,,TFO FMU,,,
2025-10-01T00:00:00.000000000Z,35,85,31005492,-0.3,-0.3,-0.3,-0.3,300,TFO  74  31005492,TFO  74,,,TFO FMV,,,
2025-10-01T00:00:00.000000000Z,35,58,108338586,,,,,2000,TFO FMQ0026_OMPE0000027002072726,TFO FMQ,,,TFO FMX,,,
2025-10-01T00:00:00.000000000Z,35,58,108281435,,,,,340,TFO FMJ0026_OMPE0000025002032726,TFO FMJ,,,TFO FMZ,,,
2025-10-01T00:00:00.000000000Z,35,85,31005410,1.73,1.73,1.73,1.73,20,TFO  55  31005410,TFO  55,,,TFO FQF,,,
2025-10-01T00:00:00.000000000Z,35,58,107914275,0.565,0.565,0.565,0.565,250,TFO FMG0026_OMCE0000045002012726,TFO FMG,,,TFO FQJ,,,
2025-10-01T00:00:00.000000000Z,35,58,108682071,,,,,1000,TFO FMU0026_OMPE0000024002082626,TFO FMU,,,TFO FQN,,,
2025-10-01T00:00:00.000000000Z,35,58,107904725,0.095,0.095,0.095,0.095,2000,TFO FMX0025_OMCE0000041002102725,TFO FMX,,,TFO FQV,,,
2025-10-01T00:00:00.000000000Z,35,58,108721179,0.27,0.27,0.27,0.27,1500,TFO FMZ0025_OMPE0000027002112625,TFO FMZ,,,TFO FSG,Feb,2,
2025-10-01T00:00:00.000000000Z,35,85,31002939,0.65,0.65,0.65,0.65,50,TFO  58  31002939,TFO  58,,,TFO FSJ,Apr,4,Sum
2025-10-01T00:00:00.000000000Z,35,58,108031833,,,,,450,TFO FMH0026_OMPE0000030002022426,TFO FMH,,,TFO FSK,May,,
2025-10-01T00:00:00.000000000Z,35,58,108680803,,,,,1000,TFO FMQ0026_OMPE0000024002072726,TFO FMQ,,,TFO FSM,Jun,,
2025-10-01T00:00:00.000000000Z,35,58,107797365,,,,,250,TFO FMF0026_OMCE0000060002122425,TFO FMF,,,TFO FSV,oct,,win
2025-10-01T00:00:00.000000000Z,35,58,108029632,0.18,0.18,0.18,0.18,300,TFO FMX0025_OMCE0000037002102725,TFO FMX,,,TFO FSX,nov,,
2025-10-01T00:00:00.000000000Z,35,58,108087210,0.475,0.49,0.465,0.465,950,TFO FQF0026.H0026_OQCE0000050002122,TFO FQF,,,TFO FSZ,dec,,
2025-10-01T00:00:00.000000000Z,35,58,108293632,,,,,100,TFO FMN0026_OMCE0000035002062626,TFO FMN,,,TFO FYF,,,
2025-10-01T00:00:00.000000000Z,35,85,108279403,0.12,0.125,0.12,0.125,50,TFO FMZ0025_OMPE0000025002112625,TFO FMZ,,,,,,
2025-10-01T00:00:00.000000000Z,35,85,31005574,1.11,1.11,1.11,1.11,50,TFO  56  31005574,TFO  56,,,,,,
