ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-03-20T00:00:00.000000000Z,35,58,105293010,35.450000000,35.450000000,35.450000000,35.450000000,200,TFO FSJ0023.U0023_OSPE0000075002032
2023-03-20T00:00:00.000000000Z,35,58,105293000,,,,,200,TFO FMK0023_OMPE0000075002042623
2023-03-20T00:00:00.000000000Z,35,58,105449625,,,,,10,TFO FMZ0023_OMCE0000075002112423
2023-03-20T00:00:00.000000000Z,35,58,106779552,,,,,25,TFO FMF0024_OMCE0000125002122723
2023-03-20T00:00:00.000000000Z,35,85,105449765,14.280000000,14.280000000,14.280000000,14.280000000,14,TFO FMK0024_OMCE0000050002042624
2023-03-20T00:00:00.000000000Z,35,85,30571812,5.450000000,5.450000000,5.450000000,5.450000000,25,TFO  77  30571812
2023-03-20T00:00:00.000000000Z,35,58,105663171,,,,,100,TFO FMX0023_OMCE0000090002102723
2023-03-20T00:00:00.000000000Z,35,58,104351226,,,,,2200,TFO FMF0024_OMPE0000030002122723
2023-03-20T00:00:00.000000000Z,35,85,30571775,3.850000000,3.850000000,3.850000000,3.850000000,100,TFO  50  30571775
2023-03-20T00:00:00.000000000Z,35,58,105293001,1.150000000,1.150000000,1.150000000,1.150000000,650,TFO FMM0023_OMCE0000075002052623
2023-03-20T00:00:00.000000000Z,35,58,104408968,0.550000000,0.625000000,0.500000000,0.625000000,1805,TFO FMJ0023_OMPE0000035002032723
2023-03-20T00:00:00.000000000Z,35,58,105989219,,,,,10,TFO FMH0024_OMCE0000075002022324
2023-03-20T00:00:00.000000000Z,35,85,30571738,1.975000000,1.975000000,1.975000000,1.975000000,100,TFO  50  30571738
2023-03-20T00:00:00.000000000Z,35,58,104953257,1.700000000,1.700000000,1.700000000,1.700000000,550,TFO FMJ0023_OMCE0000042002032723
2023-03-20T00:00:00.000000000Z,35,58,106688764,0.650000000,0.650000000,0.650000000,0.650000000,300,TFO FMN0023_OMCE0000110002062623
2023-03-20T00:00:00.000000000Z,35,58,105081539,,,,,200,TFO FMU0023_OMCE0000060002082523
2023-03-20T00:00:00.000000000Z,35,85,106753058,5.800000000,5.800000000,5.800000000,5.800000000,14,TFO FMU0024_OMCE0000100002082724
2023-03-20T00:00:00.000000000Z,35,58,105051579,5.450000000,5.450000000,5.450000000,5.450000000,450,TFO FQN0023.U0023_OQCE0000050002062
2023-03-20T00:00:00.000000000Z,35,58,106765658,2.825000000,2.825000000,2.825000000,2.825000000,100,TFO FQV0023.Z0023_OQCE0000130002092
2023-03-20T00:00:00.000000000Z,35,58,105425083,,,,,100,TFO FMF0024_OMCE0000065002122723
2023-03-20T00:00:00.000000000Z,35,85,105049467,13.130000000,13.130000000,13.130000000,13.130000000,14,TFO FMX0023_OMCE0000050002102723
2023-03-20T00:00:00.000000000Z,35,58,105674261,1.050000000,1.050000000,1.050000000,1.050000000,150,TFO FSJ0023.U0023_OSCE0000090002032
2023-03-20T00:00:00.000000000Z,35,58,105663101,,,,,150,TFO FMQ0023_OMCE0000090002072723
